;Mês de referência:;Código Fipe:;Marca:;Modelo:;Ano Modelo:;Autenticação;Data da consulta;Preço Médio
0;dezembro de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l13rktckkknc;segunda-feira, 6 de dezembro de 2021 14:32;R$ 23.095,00
1;novembro de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;lycs6kymrgnc;segunda-feira, 6 de dezembro de 2021 14:32;R$ 22.776,00
2;outubro de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;lw126762frnc;segunda-feira, 6 de dezembro de 2021 14:33;R$ 22.664,00
3;setembro de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;lsj1yl47mqnc;segunda-feira, 6 de dezembro de 2021 14:33;R$ 22.364,00
4;agosto de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;lqj8f67j1nnc;segunda-feira, 6 de dezembro de 2021 14:33;R$ 22.194,00
5;julho de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;lnlkrqpc72nc;segunda-feira, 6 de dezembro de 2021 14:34;R$ 22.027,00
6;junho de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l0ydqx44fxnc;segunda-feira, 6 de dezembro de 2021 14:34;R$ 22.995,00
7;maio de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l0908z9k1fnc;segunda-feira, 6 de dezembro de 2021 14:34;R$ 23.027,00
8;abril de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l18t6ftpzcnc;segunda-feira, 6 de dezembro de 2021 14:35;R$ 23.109,00
9;março de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l2fxx6qwtznc;segunda-feira, 6 de dezembro de 2021 14:35;R$ 23.123,00
10;fevereiro de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l2w3cbq78mnc;segunda-feira, 6 de dezembro de 2021 14:35;R$ 23.162,00
11;janeiro de 2020 ;005275-2;VW - VolksWagen;Gol (novo) 1.0 Mi Total Flex 8V 4p;2013 Gasolina;l1589bgrm9nc;segunda-feira, 6 de dezembro de 2021 14:36;R$ 23.102,00
